timestamp,file,cost,latency
2026-04-06,2026-04-06 10:15:09,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
2026-04-06,2026-04-06 10:23:30,More-global-supply-chain-snarls.pdf,.pdf,ollama/gemma4:26b,718,1460,2178,0.73,499.58,500.3
2026-04-06,2026-04-06 10:37:53,You Have An Amazing Memory - Workbook.pdf,.pdf,ollama/gemma4:26b,3669,2123,5792,4.32,859.21,863.53
2026-04-06,2026-04-06 10:54:47,Microsoft_Expanded_Cloud_Logs_Implementation_Playbook_1737260229.pdf,.pdf,ollama/gemma4:26b,5599,2096,7695,5.61,1008.26,1013.87
2026-04-06,2026-04-06 10:57:26,20220512-RPT-Data_in_Motion-EN_US.pdf,.pdf,ollama/gemma4:26b,0,0,0,11.66,147.44,159.11
2026-04-06,2026-04-06 11:03:49,Who_Should_Develop_Which_AI_Evaluations_1739343103.pdf,.pdf,ollama/gemma4:26b,1792,2016,3808,3.72,379.02,382.74
2026-04-06,2026-04-06 11:06:32,It - OT Secs.pdf,.pdf,ollama/gemma4:26b,0,0,0,1.37,161.75,163.12
2026-04-06,2026-04-06 11:44:28,audible-writing creative nonfiction.pdf,.pdf,ollama/gemma4:26b,8192,1323,9515,5.69,2270.11,2275.8
2026-04-06,2026-04-06 11:45:53,116_Best_Cybersecurity_Tools_For_You__1767699386.pdf,.pdf,ollama/gemma4:26b,0,0,0,0.33,84.59,84.92
2026-04-06,2026-04-06 12:05:06,半导体供应链中新兴的弹性-BCG&SIA-2024.5-38页 2024-08-04 16_04_10.pdf,.pdf,ollama/gemma4:26b,5136,2085,7221,15.35,1137.18,1152.53
2026-04-06,2026-04-06 12:17:48,Microsoft_Lessons_from_Red_Teaming_100_Gen_AI_Products_1737306397.pdf,.pdf,ollama/gemma4:26b,2456,2085,4541,4.65,757.42,762.07
2026-04-06,2026-04-06 12:31:01,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
2026-04-06,2026-04-06 12:37:25,Information Paper on AI Risk Management Final.pdf,.pdf,ollama/gemma4:26b,4409,2320,6729,4.93,379.15,384.08
2026-04-06,2026-04-06 13:05:42,AAAI-2025-PresPanel-Report-FINAL.pdf,.pdf,ollama/gemma4:26b,8192,1187,9379,8.3,1688.15,1696.44
2026-04-06,2026-04-06 13:08:31,中国AI大混战背后-想超越美国 又离不开美国 - 纽约时报中文网.pdf,.pdf,ollama/gemma4:26b,0,0,0,0.35,168.69,169.04
2026-04-06,2026-04-06 13:33:07,audible-analysis and critique writing.pdf,.pdf,ollama/gemma4:26b,7638,2050,9688,5.25,1470.39,1475.64
2026-04-06,2026-04-06 13:51:45,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
2026-04-06,2026-04-06 13:57:09,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
2026-04-06,2026-04-06 14:03:38,csfforesight2024.pdf,.pdf,ollama/gemma4:26b,8192,890,9082,6.64,382.3,388.94
2026-04-06,2026-04-06 14:06:02,Haunted Empire-Kindle Notes.pdf,.pdf,ollama/gemma4:26b,0,0,0,0.14,142.99,143.13
2026-04-06,2026-04-06 19:38:19,WEF the future of work report.pdf,.pdf,ollama/gemma4:26b,8192,1299,9491,27.67,19909.38,19937.05
2026-04-06,2026-04-06 20:00:42,ISO-IEC JTC 1-SC 27-WG 4_N6788_Proposed text for ISO-IEC DIS 27090.pdf,.pdf,ollama/gemma4:latest,0,0,0,0,0,0
2026-04-07,2026-04-07 04:03:48,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
2026-04-07,2026-04-07 04:39:04,ISO-IEC JTC 1-SC 27-WG 4_N6788_Proposed text for ISO-IEC DIS 27090.pdf,.pdf,ollama/gemma4:26b,7138,2082,9220,5.64,2110.38,2116.02
2026-04-07,2026-04-07 05:18:18,Compliance and Risk explained with 2 cows.pdf,.pdf,ollama/gemma4:26b,0,0,0,0,0,0
